
Customer_ID,Age,Gender,Purchase_Frequency,Average_Order_Value,Website_Visits,Previous_Purchases,Total_Spending,Churn
C001,22,Male,8,450,25,12,5400,0
C002,25,Female,5,320,18,8,2560,0
C003,31,Male,2,280,10,3,840,1
C004,28,Female,7,510,22,11,5610,0
C005,35,Male,3,250,12,5,1250,1
C006,24,Female,9,620,30,15,9300,0
C007,42,Male,1,180,6,2,360,1
C008,29,Female,6,400,20,9,3600,0
C009,38,Male,2,300,9,4,1200,1
C010,26,Female,8,550,27,13,7150,0
C011,45,Male,1,150,5,1,150,1
C012,33,Female,4,350,14,6,2100,1
C013,27,Male,7,480,23,10,4800,0
C014,30,Female,6,430,19,8,3440,0
C015,40,Male,2,220,8,3,660,1
C016,23,Female,10,700,32,18,12600,0
C017,36,Male,3,275,11,5,1375,1
C018,28,Female,7,460,21,10,4600,0
C019,34,Male,4,330,15,6,1980,1
C020,25,Female,9,580,29,14,8120,0
